item_id,title,price_raw,tags_raw,review_raw,cover_url
730,Counter-Strike 2,免费,"[1663, 1774, 3859, 3878, 19, 5711, 5055]","特别好评<br>此游戏的 1,349,066 篇用户评测中有 89% 为好评。<br><br>此产品的总体评价是基于您的偏好用以您语言撰写的评测计算得出的。",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/730/capsule_231x87_schinese.jpg?t=1749053861
1771300,天国：拯救2,¥114.00,"[122, 4172, 1695, 4182, 4175, 3839, 1742]","特别好评<br>此游戏的 21,990 篇用户评测中有 93% 为好评。<br><br>此产品的总体评价是基于您的偏好用以您语言撰写的评测计算得出的。",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1771300/93e28946c46f09d761bbfab1e17e8c1c4a8323a0/capsule_231x87.jpg?t=1763987645
1172470,Apex Legends™,免费,"[113, 3859, 176981, 1663, 1774, 3839, 1775]","褒贬不一<br>此游戏的 254,886 篇用户评测中有 42% 为好评。<br><br>此产品的总体评价是基于您的偏好用以您语言撰写的评测计算得出的。",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1172470/33d4b71b2b9c8eb837b7ea5f6c5d12ca3501ea27/capsule_231x87.jpg?t=1762457261
1304930,The Outlast Trials,¥40.80,"[1667, 3859, 1685, 3978, 1721, 3839, 6730]","特别好评<br>此游戏的 8,830 篇用户评测中有 89% 为好评。<br><br>此产品的总体评价是基于您的偏好用以您语言撰写的评测计算得出的。",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1304930/dd0d50754c2c3aaede554ff960974cff95ef6015/capsule_231x87.jpg?t=1765291876
2344520,《暗黑破坏神® IV》,¥348.00,"[4231, 1646, 4236, 5851, 122, 3843, 4182]","褒贬不一<br>此游戏的 11,717 篇用户评测中有 49% 为好评。<br><br>此产品的总体评价是基于您的偏好用以您语言撰写的评测计算得出的。",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2344520/7086c858ce766d047bf357515805eda229d966b0/capsule_231x87.jpg?t=1765512014
578080,PUBG: BATTLEGROUNDS,免费,"[1662, 1774, 176981, 3859, 1663, 1775, 3814]","褒贬不一<br>此游戏的 1,356,834 篇用户评测中有 50% 为好评。<br><br>此产品的总体评价是基于您的偏好用以您语言撰写的评测计算得出的。",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/578080/14f42ab797699a9c9f137fda66582d8776da4330/capsule_231x87.jpg?t=1764817633
1903340,光与影：33号远征队,¥174.40,"[4325, 1742, 1684, 122, 1756, 4434, 4182]","特别好评<br>此游戏的 19,634 篇用户评测中有 86% 为好评。<br><br>此产品的总体评价是基于您的偏好用以您语言撰写的评测计算得出的。",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1903340/b165109579fe05a63afd279cc4421edfc28d25bd/capsule_231x87_schinese.jpg?t=1765542896
230410,Warframe 星际战甲,免费,"[113, 353880, 4231, 3814, 19, 122, 1697]","多半好评<br>此游戏的 128,630 篇用户评测中有 70% 为好评。<br><br>此产品在一个或多个时间段内出现跑题评测活动。这些时间段内的评测已按您的偏好设置不计入此产品的总体评价。<br><br>此产品的总体评价是基于您的偏好用以您语言撰写的评测计算得出的。",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/230410/1fdfe5abd091ca959a6550868a39b6c4cc200852/capsule_231x87.jpg?t=1765508208
3405690,EA SPORTS FC™ 26,¥179.20,"[1254546, 701, 599, 3859, 4182, 3878, 7481]","多半差评<br>此游戏的 1,938 篇用户评测中有 27% 为好评。<br><br>此产品的总体评价是基于您的偏好用以您语言撰写的评测计算得出的。",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3405690/abca0fd9695521a046d407327d82f808162315f7/capsule_231x87.jpg?t=1765792801
1364780,Street Fighter 6,¥99.00,"[4736, 1743, 1773, 4747, 3859, 19, 3878]","特别好评<br>此游戏的 9,845 篇用户评测中有 84% 为好评。<br><br>此产品的总体评价是基于您的偏好用以您语言撰写的评测计算得出的。",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1364780/e84f9e9e2a0e6aacbfe5261af89c29be5d3d3f37/capsule_231x87_alt_assets_17.jpg?t=1761116384
